iter	Passed	Remaining
0	160	15891
1	166	8147
2	172	5582
3	178	4283
4	184	3497
5	190	2982
6	196	2605
7	201	2319
8	207	2100
9	213	1922
10	219	1775
11	225	1653
12	231	1546
13	237	1457
14	242	1375
15	248	1303
16	254	1240
17	259	1181
18	265	1129
19	271	1085
20	276	1041
21	282	1002
22	288	966
23	294	931
24	300	900
25	305	869
26	318	861
27	324	834
28	330	808
29	336	784
30	341	760
31	348	739
32	355	721
33	363	706
34	370	687
35	376	669
36	382	651
37	388	633
38	395	618
39	403	605
40	409	589
41	417	577
42	423	561
43	428	545
44	434	530
45	439	516
46	445	502
47	450	488
48	456	474
49	462	462
50	468	450
51	474	437
52	480	425
53	485	413
54	491	401
55	497	390
56	502	379
57	508	368
58	514	357
59	520	346
60	525	336
61	531	325
62	536	315
63	542	305
64	547	295
65	553	284
66	558	275
67	566	266
68	572	257
69	579	248
70	585	239
71	591	230
72	598	221
73	605	212
74	611	203
75	617	195
76	623	186
77	629	177
78	634	168
79	640	160
80	645	151
81	650	142
82	656	134
83	662	126
84	668	117
85	674	109
86	679	101
87	685	93
88	690	85
89	696	77
90	702	69
91	708	61
92	713	53
93	719	45
94	726	38
95	733	30
96	742	22
97	748	15
98	754	7
99	760	0
